N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
41.0,기업은행,10500.0,10.0,-0.10%,5000.0,10530.0,10540.0,10470.0
42.0,HMM,17110.0,50.0,-0.29%,5000.0,17160.0,17320.0,17060.0
43.0,HD한국조선해양,113300.0,0.0,0.00%,5000.0,113300.0,113600.0,111400.0
44.0,S-Oil,71000.0,1900.0,-2.61%,2500.0,72600.0,72700.0,70700.0
45.0,한화오션,35050.0,150.0,-0.43%,5000.0,34100.0,35350.0,33200.0
46.0,크래프톤,155700.0,1000.0,-0.64%,100.0,157600.0,158400.0,155500.0
47.0,아모레퍼시픽,124100.0,2000.0,+1.64%,500.0,122200.0,124500.0,119500.0
48.0,삼성중공업,8210.0,0.0,0.00%,1000.0,8300.0,8300.0,8030.0
49.0,금양,124400.0,500.0,+0.40%,500.0,126100.0,127400.0,121500.0
50.0,삼성엔지니어링,36000.0,150.0,+0.42%,5000.0,35800.0,36350.0,35700.0
51.0,LG생활건강,434000.0,2500.0,+0.58%,5000.0,433500.0,436500.0,429000.0
52.0,SK바이오팜,85300.0,0.0,0.00%,500.0,85300.0,85900.0,84700.0
53.0,현대글로비스,170500.0,1100.0,-0.64%,500.0,172500.0,174000.0,170200.0
54.0,SK스퀘어,44600.0,1250.0,+2.88%,100.0,43850.0,45100.0,43850.0
55.0,SK아이이테크놀로지,87000.0,1100.0,+1.28%,1000.0,86500.0,87900.0,85100.0
56.0,한화솔루션,35900.0,100.0,+0.28%,5000.0,36150.0,36550.0,35850.0
57.0,LG이노텍,258000.0,2500.0,+0.98%,5000.0,258000.0,265000.0,256500.0
58.0,카카오페이,43450.0,200.0,+0.46%,500.0,43350.0,44050.0,43300.0
59.0,유한양행,75600.0,600.0,+0.80%,1000.0,75100.0,76500.0,74400.0
60.0,DB손해보험,81200.0,600.0,-0.73%,500.0,81900.0,82700.0,80300.0
61.0,SK바이오사이언스,74000.0,300.0,+0.41%,500.0,74600.0,75200.0,73700.0
62.0,KODEX 200,33445.0,450.0,+1.36%,0.0,33345.0,33465.0,33300.0
63.0,한화에어로스페이스,110700.0,1600.0,-1.42%,5000.0,112400.0,113800.0,108400.0
64.0,엔씨소프트,252500.0,6500.0,+2.64%,500.0,247500.0,255500.0,246500.0
65.0,두산밥캣,54900.0,700.0,+1.29%,500.0,54800.0,55200.0,54300.0
66.0,롯데케미칼,128300.0,500.0,+0.39%,5000.0,127800.0,129300.0,127200.0
67.0,한미반도체,55500.0,1500.0,-2.63%,100.0,60600.0,60900.0,55200.0
68.0,TIGER CD금리투자KIS(합성),52885.0,15.0,+0.03%,0.0,52885.0,52890.0,52885.0
69.0,맥쿼리인프라,11840.0,20.0,+0.17%,0.0,11820.0,11890.0,11800.0
70.0,코스모신소재,165000.0,1000.0,-0.60%,1000.0,168800.0,168800.0,160600.0
71.0,오리온,125000.0,4100.0,-3.18%,500.0,127700.0,127900.0,124500.0
72.0,한온시스템,9130.0,520.0,-5.39%,100.0,9660.0,9670.0,9060.0
73.0,LG디스플레이,13390.0,210.0,+1.59%,5000.0,13300.0,13460.0,13270.0
74.0,한국타이어앤테크놀로지,38300.0,600.0,-1.54%,500.0,38900.0,39000.0,37750.0
75.0,한국항공우주,48400.0,200.0,-0.41%,5000.0,48650.0,48700.0,47700.0
76.0,현대제철,34650.0,50.0,-0.14%,5000.0,35000.0,35000.0,34500.0
77.0,HD현대,58400.0,600.0,-1.02%,1000.0,59000.0,59100.0,58200.0
78.0,CJ제일제당,301000.0,4000.0,-1.31%,5000.0,305500.0,305500.0,300000.0
79.0,LG유플러스,10290.0,90.0,+0.88%,5000.0,10200.0,10320.0,10200.0
80.0,현대오토에버,156800.0,800.0,+0.51%,500.0,157600.0,159100.0,154300.0
81.0,미래에셋증권,6700.0,0.0,0.00%,5000.0,6730.0,6750.0,6650.0
82.0,현대건설,34100.0,150.0,-0.44%,5000.0,34500.0,34550.0,34100.0
83.0,F&F,98800.0,0.0,0.00%,100.0,98300.0,99100.0,97400.0
84.0,한미약품,298500.0,6000.0,+2.05%,2500.0,293500.0,300500.0,293000.0
85.0,현대차2우B,103600.0,400.0,-0.38%,5000.0,104700.0,105300.0,103600.0
86.0,넷마블,42750.0,500.0,+1.18%,100.0,42300.0,43200.0,42250.0
87.0,LS,109300.0,800.0,-0.73%,5000.0,111000.0,111100.0,105300.0
88.0,GS,37400.0,500.0,-1.32%,5000.0,37750.0,38150.0,37400.0
89.0,금호석유,117500.0,1800.0,+1.56%,5000.0,115700.0,118600.0,115700.0
90.0,NH투자증권,10370.0,80.0,-0.77%,5000.0,10460.0,10470.0,10280.0
91.0,호텔신라,87100.0,1500.0,+1.75%,5000.0,86100.0,87500.0,85100.0
92.0,삼성카드,29500.0,200.0,+0.68%,5000.0,29300.0,29500.0,29200.0
93.0,SKC,89600.0,1200.0,+1.36%,5000.0,89200.0,90100.0,88300.0
94.0,KODEX KOFR금리액티브(합성),104005.0,10.0,+0.01%,0.0,104000.0,104005.0,104000.0
95.0,현대미포조선,82700.0,0.0,0.00%,5000.0,82700.0,83400.0,80800.0
96.0,강원랜드,15410.0,60.0,+0.39%,500.0,15420.0,15490.0,15290.0
97.0,삼성증권,36650.0,0.0,0.00%,5000.0,36900.0,37000.0,36500.0
98.0,현대로템,29400.0,300.0,-1.01%,5000.0,29900.0,30100.0,29250.0
99.0,코웨이,41800.0,200.0,-0.48%,500.0,42000.0,42550.0,41750.0
100.0,LS ELECTRIC,96600.0,0.0,0.00%,5000.0,97100.0,97300.0,93500.0
101.0,한진칼,42850.0,500.0,+1.18%,2500.0,42850.0,43400.0,42250.0
102.0,KODEX 종합채권(AA-이상)액티브,104690.0,130.0,+0.12%,0.0,104705.0,104880.0,104630.0
103.0,한국금융지주,50500.0,200.0,-0.39%,5000.0,51000.0,51000.0,50200.0
104.0,농심,460000.0,0.0,0.00%,5000.0,458500.0,461000.0,445500.0
105.0,BGF리테일,161600.0,1200.0,-0.74%,1000.0,162900.0,163600.0,161100.0
106.0,씨에스윈드,64300.0,400.0,-0.62%,500.0,65100.0,65400.0,63400.0
107.0,쌍용C&E,5330.0,40.0,+0.76%,100.0,5300.0,5350.0,5250.0
108.0,키움증권,99900.0,2200.0,+2.25%,5000.0,98700.0,100700.0,97800.0
109.0,한전기술,68200.0,1500.0,+2.25%,200.0,68900.0,69000.0,66600.0
110.0,LG화학우,338000.0,3000.0,+0.90%,5000.0,336500.0,342000.0,335000.0
111.0,아모레G,31500.0,1150.0,+3.79%,500.0,30650.0,31700.0,30050.0
112.0,롯데지주,24450.0,100.0,-0.41%,200.0,24600.0,24750.0,24300.0
113.0,현대해상,28650.0,50.0,+0.17%,500.0,28650.0,28750.0,28200.0
114.0,HD현대일렉트릭,70100.0,1600.0,+2.34%,5000.0,69200.0,70200.0,67500.0
115.0,한화시스템,13230.0,100.0,+0.76%,5000.0,13230.0,13350.0,13000.0
116.0,현대차우,101900.0,100.0,-0.10%,5000.0,102500.0,103300.0,101900.0
117.0,TIGER 차이나전기차SOLACTIVE,9200.0,35.0,-0.38%,0.0,9250.0,9260.0,9085.0
118.0,GS리테일,23350.0,50.0,-0.21%,1000.0,23200.0,23450.0,23100.0
119.0,한미사이언스,34950.0,1000.0,+2.95%,500.0,34050.0,35150.0,34000.0
120.0,영원무역,54800.0,300.0,-0.54%,500.0,55700.0,55700.0,54100.0
121.0,TIGER 미국나스닥100,90510.0,900.0,+1.00%,0.0,90690.0,90820.0,90395.0
122.0,DB하이텍,52700.0,1100.0,+2.13%,5000.0,52600.0,53600.0,52400.0
123.0,TIGER 200,33470.0,445.0,+1.35%,0.0,33405.0,33505.0,33330.0
124.0,팬오션,4320.0,10.0,+0.23%,1000.0,4355.0,4365.0,4315.0
125.0,휠라홀딩스,37100.0,50.0,+0.13%,1000.0,36600.0,37150.0,36350.0
126.0,롯데에너지머티리얼즈,48150.0,500.0,+1.05%,500.0,48000.0,49200.0,48000.0
127.0,한국가스공사,24000.0,50.0,-0.21%,5000.0,24050.0,24100.0,23900.0
128.0,이수페타시스,34700.0,1300.0,-3.61%,1000.0,38200.0,38800.0,34450.0
129.0,제일기획,19000.0,90.0,+0.48%,200.0,18970.0,19020.0,18880.0
130.0,BNK금융지주,6620.0,10.0,+0.15%,5000.0,6630.0,6650.0,6550.0
131.0,영풍제지,46300.0,900.0,+1.98%,500.0,45400.0,46500.0,45350.0
132.0,에스원,54100.0,300.0,+0.56%,500.0,53800.0,54400.0,53800.0
133.0,KODEX 23-12 은행채(AA+이상)액티브,10390.0,5.0,+0.05%,0.0,10385.0,10390.0,10380.0
134.0,KODEX 레버리지,16255.0,430.0,+2.72%,0.0,16150.0,16275.0,16115.0
135.0,HD현대인프라코어,10170.0,210.0,+2.11%,1000.0,10100.0,10250.0,10040.0
136.0,이마트,72200.0,1000.0,-1.37%,5000.0,72900.0,73200.0,72000.0
137.0,롯데쇼핑,70100.0,400.0,+0.57%,5000.0,69700.0,70500.0,69600.0
138.0,한화생명,2265.0,30.0,+1.34%,5000.0,2240.0,2265.0,2220.0
139.0,CJ,67300.0,800.0,-1.17%,5000.0,68200.0,68600.0,66600.0
140.0,HL만도,41600.0,250.0,+0.60%,1000.0,41700.0,41800.0,41250.0
141.0,신세계,198100.0,200.0,-0.10%,5000.0,198000.0,200500.0,197700.0
142.0,TIGER 미국S&P500,14765.0,15.0,+0.10%,0.0,14820.0,14840.0,14745.0
143.0,효성첨단소재,431500.0,3000.0,+0.70%,5000.0,431500.0,433500.0,425000.0
144.0,KODEX 200TR,11410.0,140.0,+1.24%,0.0,11350.0,11435.0,11335.0
145.0,한솔케미칼,168300.0,1200.0,-0.71%,5000.0,171000.0,174200.0,164800.0
146.0,두산,112600.0,6800.0,+6.43%,5000.0,109000.0,115300.0,107200.0
147.0,한화,24750.0,100.0,+0.41%,5000.0,24800.0,24950.0,24550.0
148.0,현대엘리베이,47100.0,2200.0,-4.46%,5000.0,49000.0,49050.0,46300.0
149.0,대우건설,4375.0,35.0,-0.79%,5000.0,4420.0,4445.0,4350.0
150.0,CJ대한통운,78600.0,900.0,-1.13%,5000.0,79700.0,80000.0,78400.0
151.0,효성중공업,190300.0,500.0,+0.26%,5000.0,190500.0,194000.0,181600.0
152.0,KCC,198000.0,100.0,+0.05%,5000.0,198000.0,198600.0,197000.0
153.0,동서,17550.0,30.0,+0.17%,500.0,17530.0,17690.0,17470.0
154.0,LIG넥스원,78700.0,300.0,+0.38%,5000.0,78900.0,79400.0,77800.0
155.0,JB금융지주,8730.0,30.0,+0.34%,5000.0,8710.0,8750.0,8680.0
156.0,KODEX 200선물인버스2X,2630.0,70.0,-2.59%,0.0,2640.0,2655.0,2625.0
157.0,동원산업,36000.0,0.0,0.00%,1000.0,36000.0,36450.0,35650.0
158.0,TIGER KOFR금리액티브(합성),102580.0,10.0,+0.01%,0.0,102575.0,102580.0,102575.0
159.0,TIGER 미국테크TOP10 INDXX,14120.0,305.0,+2.21%,0.0,14045.0,14145.0,14045.0
160.0,SK네트웍스,6940.0,110.0,+1.61%,2500.0,6800.0,6950.0,6740.0
161.0,OCI홀딩스,97500.0,700.0,+0.72%,5000.0,96900.0,98000.0,95400.0
162.0,두산퓨얼셀,24350.0,650.0,+2.74%,100.0,23750.0,24350.0,23750.0
163.0,TIGER 미국필라델피아반도체나스닥,13000.0,310.0,+2.44%,0.0,13000.0,13010.0,12960.0
164.0,KG모빌리티,8510.0,800.0,+10.38%,5000.0,7720.0,9010.0,7400.0
165.0,코스맥스,140000.0,200.0,+0.14%,500.0,138500.0,144100.0,137300.0
166.0,에스엘,33800.0,950.0,-2.73%,500.0,34800.0,35000.0,33300.0
167.0,현대백화점,66200.0,400.0,+0.61%,5000.0,65900.0,67300.0,65200.0
168.0,솔루엠,30950.0,650.0,+2.15%,500.0,30800.0,31350.0,30400.0
169.0,롯데정밀화학,59700.0,0.0,0.00%,5000.0,60200.0,60200.0,59200.0
170.0,대한전선,12300.0,70.0,+0.57%,1000.0,12260.0,12330.0,12150.0
171.0,삼아알미늄,103900.0,1700.0,+1.66%,500.0,103400.0,105500.0,101200.0
172.0,현대위아,56200.0,400.0,-0.71%,5000.0,56900.0,57100.0,56100.0
173.0,한전KPS,33750.0,350.0,+1.05%,200.0,33750.0,33850.0,33300.0
174.0,코스모화학,43200.0,400.0,+0.93%,1000.0,42350.0,43350.0,41550.0
175.0,오뚜기,364000.0,2000.0,-0.55%,5000.0,366000.0,368500.0,362000.0
176.0,대덕전자,29150.0,1400.0,+5.05%,500.0,29050.0,30150.0,28650.0
177.0,LX세미콘,87700.0,600.0,-0.68%,500.0,89900.0,90200.0,87400.0
178.0,TIGER 2차전지테마,33990.0,930.0,+2.81%,0.0,33400.0,34095.0,32910.0
179.0,HD현대건설기계,70400.0,2100.0,+3.07%,5000.0,69200.0,70900.0,68100.0
180.0,TCC스틸,52800.0,300.0,+0.57%,1000.0,53100.0,53500.0,51400.0
181.0,금호타이어,4815.0,40.0,+0.84%,5000.0,4810.0,4860.0,4745.0
182.0,효성티앤씨,319500.0,2500.0,+0.79%,5000.0,317500.0,320000.0,311500.0
183.0,코오롱인더,50100.0,900.0,-1.76%,5000.0,51500.0,51500.0,49850.0
184.0,삼양식품,182500.0,3900.0,-2.09%,5000.0,183900.0,188000.0,178800.0
185.0,녹십자,116200.0,1200.0,+1.04%,5000.0,115900.0,116700.0,114700.0
186.0,하이트진로,19250.0,140.0,+0.73%,5000.0,19220.0,19250.0,18920.0
187.0,한샘,57300.0,400.0,-0.69%,1000.0,57700.0,58000.0,56400.0
188.0,덴티움,120500.0,1800.0,+1.52%,500.0,118500.0,122200.0,118400.0
189.0,에스디바이오센서,10710.0,530.0,-4.72%,500.0,11260.0,11260.0,10650.0
190.0,KODEX 단기채권PLUS,107540.0,30.0,+0.03%,0.0,107545.0,107550.0,107540.0
191.0,효성,62300.0,800.0,+1.30%,5000.0,61500.0,62400.0,61300.0
192.0,한국콜마,55900.0,200.0,-0.36%,500.0,55800.0,56500.0,54200.0
193.0,KBSTAR 200,33645.0,450.0,+1.36%,0.0,33535.0,33670.0,33510.0
194.0,롯데칠성,134700.0,1000.0,+0.75%,500.0,133600.0,135300.0,132500.0
195.0,TIGER TOP10,11340.0,265.0,+2.39%,0.0,11185.0,11340.0,11185.0
196.0,DGB금융지주,7320.0,50.0,+0.69%,5000.0,7290.0,7350.0,7270.0
197.0,한올바이오파마,23450.0,450.0,+1.96%,500.0,23050.0,23850.0,23050.0
198.0,대웅제약,105500.0,600.0,+0.57%,2500.0,105500.0,106400.0,105200.0
199.0,GS건설,14120.0,180.0,+1.29%,5000.0,14010.0,14220.0,13980.0
200.0,SK오션플랜트,22500.0,950.0,+4.41%,500.0,21700.0,22700.0,21700.0
201.0,LX인터내셔널,30850.0,100.0,-0.32%,5000.0,31050.0,31200.0,30500.0
202.0,KODEX 2차전지산업,29345.0,835.0,+2.93%,0.0,28725.0,29490.0,28305.0
203.0,롯데관광개발,16110.0,1080.0,+7.19%,500.0,15190.0,16110.0,14740.0
204.0,KODEX CD금리액티브(합성),1009025.0,285.0,+0.03%,0.0,1009020.0,1009025.0,1009020.0
205.0,SK가스,125000.0,2600.0,-2.04%,5000.0,127600.0,127600.0,125000.0
206.0,DL이앤씨,29800.0,50.0,-0.17%,5000.0,30000.0,30050.0,29700.0
207.0,이수스페셜티케미컬,204500.0,6500.0,+3.28%,5000.0,198100.0,206000.0,190600.0
208.0,KODEX 삼성그룹,9155.0,95.0,+1.05%,0.0,9120.0,9175.0,9120.0
209.0,해성디에스,65800.0,500.0,-0.75%,5000.0,68000.0,68500.0,65600.0
210.0,솔루스첨단소재,31750.0,0.0,0.00%,100.0,32000.0,32300.0,31750.0
211.0,영원무역홀딩스,80900.0,700.0,+0.87%,500.0,79600.0,81700.0,79500.0
212.0,종근당,85500.0,100.0,+0.12%,2500.0,85400.0,85800.0,84600.0
213.0,코리안리,7630.0,60.0,+0.79%,500.0,7570.0,7670.0,7570.0
214.0,TIGER MSCI Korea TR,14275.0,220.0,+1.57%,0.0,14225.0,14310.0,14225.0
215.0,롯데웰푸드,112800.0,2100.0,+1.90%,500.0,111600.0,113000.0,111500.0
216.0,후성,11250.0,40.0,-0.35%,500.0,11300.0,11420.0,11200.0
217.0,SK케미칼,61100.0,100.0,+0.16%,5000.0,61300.0,61600.0,60700.0
218.0,명신산업,19850.0,560.0,+2.90%,500.0,19400.0,19890.0,19310.0
219.0,JW중외제약,45400.0,400.0,+0.89%,2500.0,45500.0,45800.0,43850.0
220.0,KBSTAR 종합채권(A-이상)액티브,96955.0,195.0,+0.20%,0.0,96950.0,97040.0,96940.0
221.0,KODEX 코스닥150선물인버스,3560.0,80.0,-2.20%,0.0,3575.0,3605.0,3545.0
222.0,GKL,16260.0,460.0,+2.91%,500.0,15940.0,16400.0,15620.0
223.0,더존비즈온,33050.0,450.0,+1.38%,500.0,33350.0,33700.0,32750.0
224.0,한국앤컴퍼니,10480.0,330.0,-3.05%,500.0,10750.0,10820.0,10330.0
225.0,제주항공,12880.0,50.0,+0.39%,1000.0,12950.0,12950.0,12800.0
226.0,OCI,133300.0,1800.0,+1.37%,5000.0,132000.0,134000.0,131000.0
227.0,롯데렌탈,26900.0,250.0,+0.94%,5000.0,26600.0,27000.0,26450.0
228.0,동원시스템즈,33950.0,0.0,0.00%,5000.0,34350.0,34350.0,33800.0
229.0,TIGER 단기통안채,104315.0,35.0,+0.03%,0.0,104300.0,104325.0,104300.0
230.0,오리온홀딩스,15360.0,70.0,+0.46%,500.0,15240.0,15380.0,15240.0
231.0,풍산,34300.0,100.0,+0.29%,5000.0,34150.0,34650.0,33850.0
232.0,영풍,515000.0,4000.0,+0.78%,5000.0,513000.0,522000.0,508000.0
233.0,아이에스동서,30250.0,2150.0,-6.64%,500.0,32450.0,32450.0,30050.0
234.0,DN오토모티브,91400.0,200.0,-0.22%,500.0,92000.0,92400.0,90200.0
235.0,신풍제약,17020.0,240.0,+1.43%,500.0,16840.0,17160.0,16800.0
236.0,NHN,25500.0,150.0,-0.58%,500.0,25850.0,26100.0,25400.0
237.0,TKG휴켐스,21450.0,0.0,0.00%,1000.0,21450.0,21500.0,21250.0
238.0,SK리츠,4330.0,45.0,+1.05%,500.0,4275.0,4335.0,4260.0
239.0,일진하이솔루스,23350.0,300.0,+1.30%,500.0,23100.0,23450.0,23100.0
240.0,PI첨단소재,28850.0,900.0,+3.22%,500.0,28050.0,29100.0,28050.0
241.0,한일시멘트,12160.0,30.0,+0.25%,500.0,12040.0,12160.0,11990.0
242.0,ESR켄달스퀘어리츠,3940.0,35.0,+0.90%,1000.0,3920.0,3945.0,3890.0
243.0,STX,26950.0,3000.0,-10.02%,2500.0,31150.0,31200.0,25050.0
244.0,세아베스틸지주,23050.0,350.0,+1.54%,5000.0,22800.0,23150.0,22600.0
245.0,KG스틸,8260.0,730.0,+9.69%,5000.0,7560.0,8760.0,7540.0
246.0,KBSTAR 머니마켓액티브,50615.0,15.0,+0.03%,0.0,50620.0,50620.0,50610.0
247.0,비에이치,23900.0,400.0,+1.70%,500.0,24000.0,24150.0,23350.0
248.0,롯데리츠,3390.0,10.0,-0.29%,500.0,3400.0,3400.0,3355.0
249.0,TIGER 200 IT,31245.0,775.0,+2.54%,0.0,31030.0,31430.0,31030.0
250.0,아시아나항공,10980.0,150.0,+1.39%,5000.0,10990.0,10990.0,10800.0
251.0,이노션,40550.0,650.0,-1.58%,500.0,41200.0,41200.0,40550.0
252.0,대웅,13830.0,40.0,-0.29%,500.0,13870.0,14000.0,13800.0
253.0,다우기술,17800.0,250.0,+1.42%,500.0,17560.0,17830.0,17510.0
254.0,LG전자우,46350.0,550.0,+1.20%,5000.0,46100.0,46450.0,45900.0
255.0,KODEX 단기채권,106845.0,20.0,+0.02%,0.0,106835.0,106865.0,106835.0
256.0,KODEX 코스닥150레버리지,12955.0,555.0,+4.48%,0.0,12790.0,13065.0,12640.0
257.0,TIGER 2차전지소재Fn,11235.0,410.0,+3.79%,0.0,10985.0,11255.0,10785.0
258.0,미원상사,161600.0,300.0,+0.19%,500.0,161300.0,161900.0,160900.0
259.0,DL,37150.0,450.0,-1.20%,5000.0,37350.0,37600.0,36650.0
260.0,하나투어,48200.0,200.0,+0.42%,500.0,48200.0,48500.0,47800.0
261.0,SK디스커버리,40400.0,150.0,+0.37%,5000.0,40250.0,40600.0,39800.0
262.0,애경케미칼,15770.0,50.0,+0.32%,500.0,15840.0,15990.0,15040.0
263.0,율촌화학,30800.0,650.0,-2.07%,500.0,31150.0,31400.0,30400.0
264.0,더블유게임즈,41850.0,600.0,-1.41%,500.0,42200.0,42450.0,41650.0
265.0,넥센타이어,7790.0,250.0,-3.11%,500.0,8000.0,8040.0,7710.0
266.0,제이알글로벌리츠,3845.0,0.0,0.00%,1000.0,3855.0,3870.0,3830.0
267.0,한세실업,18890.0,60.0,-0.32%,500.0,18960.0,19170.0,18810.0
268.0,드림텍,11310.0,260.0,+2.35%,100.0,11160.0,11550.0,11160.0
269.0,세아제강지주,181000.0,1200.0,+0.67%,5000.0,179800.0,182700.0,176400.0
270.0,대한유화,115000.0,1400.0,+1.23%,5000.0,114000.0,115000.0,112600.0
271.0,KODEX 인버스,4610.0,60.0,-1.28%,0.0,4615.0,4630.0,4605.0
272.0,경동나비엔,49500.0,700.0,-1.39%,1000.0,50200.0,50500.0,48850.0
273.0,대신증권,14120.0,50.0,+0.36%,5000.0,14070.0,14180.0,14010.0
274.0,진에어,13700.0,150.0,-1.08%,1000.0,13850.0,13960.0,13660.0
275.0,HSD엔진,9700.0,0.0,0.00%,1000.0,9700.0,9760.0,9450.0
276.0,KODEX 자동차,18120.0,170.0,-0.93%,0.0,18305.0,18320.0,18055.0
277.0,세방전지,49000.0,1200.0,-2.39%,500.0,49950.0,50200.0,48900.0
278.0,삼부토건,3330.0,60.0,+1.83%,1000.0,3285.0,3490.0,3210.0
279.0,프레스티지바이오파마,11250.0,50.0,-0.44%,0.0,11550.0,11550.0,11130.0
280.0,HDC현대산업개발,10210.0,90.0,+0.89%,5000.0,10130.0,10230.0,10130.0
281.0,SNT모티브,45950.0,0.0,0.00%,5000.0,45700.0,46000.0,45300.0
282.0,F&F홀딩스,16760.0,280.0,+1.70%,500.0,16540.0,17150.0,16480.0
283.0,녹십자홀딩스,13830.0,120.0,+0.88%,500.0,13720.0,13880.0,13720.0
284.0,태광산업,584000.0,1000.0,+0.17%,5000.0,581000.0,588000.0,581000.0
285.0,미원에스씨,129600.0,600.0,+0.47%,500.0,129000.0,129700.0,128100.0
286.0,KCC글라스,40500.0,300.0,-0.74%,1000.0,41150.0,41150.0,40300.0
287.0,동양생명,3970.0,45.0,-1.12%,5000.0,4025.0,4055.0,3965.0
288.0,SK렌터카,13420.0,0.0,0.00%,500.0,13420.0,13420.0,13400.0
289.0,미래에셋생명,3580.0,20.0,+0.56%,5000.0,3560.0,3585.0,3500.0
290.0,KOSEF 국고채10년,108925.0,310.0,+0.29%,0.0,108700.0,109235.0,108700.0
291.0,KG케미칼,45650.0,0.0,0.00%,5000.0,0.0,0.0,0.0
292.0,대상,17920.0,170.0,-0.94%,1000.0,18180.0,18190.0,17840.0
293.0,보령,9000.0,200.0,+2.27%,500.0,8810.0,9050.0,8810.0
294.0,우리종금,707.0,0.0,0.00%,500.0,0.0,0.0,0.0
295.0,에이프로젠,2420.0,145.0,+6.37%,500.0,2200.0,2480.0,2170.0
296.0,ARIRANG 200,33975.0,410.0,+1.22%,0.0,33905.0,34010.0,33865.0
297.0,KODEX MSCI Korea TR,11390.0,195.0,+1.74%,0.0,11365.0,11400.0,11345.0
298.0,동아쏘시오홀딩스,94900.0,100.0,+0.11%,5000.0,94800.0,95700.0,93500.0
299.0,LX홀딩스,7880.0,110.0,-1.38%,1000.0,7990.0,8010.0,7870.0
300.0,NICE평가정보,9840.0,20.0,-0.20%,500.0,9940.0,9940.0,9750.0
301.0,삼양홀딩스,69600.0,700.0,-1.00%,5000.0,70200.0,70200.0,68900.0
302.0,신성이엔지,2870.0,30.0,+1.06%,500.0,2820.0,2895.0,2790.0
